"Pass []","re(Mode(1)) [g]"
1,4.65656817731893
2,4.13620133816529
3,3.97070809556586
4,4.60068061724799
5,4.99480760246256
6,5.44631932260121
7,5.79270887040415
8,6.04086533551434
9,6.16999362545601
10,6.2452262024152
11,6.29403358931633
12,6.31968260909219
13,6.33533770383938
14,6.3376228682902
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
